name,heating,cooling,hvac_availability,occupant,lighting,equipment,hotwater1,hotwater2,hotwater3,hotwater4,hotwater5,hotwater6,hotwater7,hotwater8,hotwater9,hotwater10,hotwater11,hotwater12
주거공간,constant_temperature_20,constant_temperature_26,residential_availability,residential_people,residential_lighting,residential_equipment,2.604,2.352,2.604,2.52,2.604,2.52,2.604,2.604,2.52,2.604,2.52,2.604
소규모사무실,constant_temperature_20,constant_temperature_26,smalloffice_availability,smalloffice_people,smalloffice_lighting,smalloffice_equipment,0.66,0.57,0.63,0.66,0.66,0.6,0.66,0.63,0.54,0.63,0.63,0.63
대규모사무실,constant_temperature_20,constant_temperature_26,largeoffice_availability,largeoffice_people,largeoffice_lighting,largeoffice_equipment,0.66,0.57,0.63,0.66,0.66,0.6,0.66,0.63,0.54,0.63,0.63,0.63
회의 및 세미나실,constant_temperature_20,constant_temperature_26,meetingroom_availability,meetingroom_people,meetingroom_lighting,meetingroom_equipment,0.66,0.57,0.63,0.66,0.66,0.6,0.66,0.63,0.54,0.63,0.63,0.63
강당,constant_temperature_20,constant_temperature_26,hall_availability,hall_people,hall_lighting,hall_equipment,0.66,0.57,0.63,0.66,0.66,0.6,0.66,0.63,0.54,0.63,0.63,0.63
구내식당,constant_temperature_20,constant_temperature_26,cafeteria_availability,cafeteria_people,cafeteria_lighting,cafeteria_equipment,27.5,23.75,26.25,27.5,27.5,25,27.5,26.25,22.5,26.25,26.25,26.25
화장실,constant_temperature_20,constant_temperature_26,toilet_availability,all_zero,toilet_lighting,all_zero,0,0,0,0,0,0,0,0,0,0,0,0
그 외 체류공간,constant_temperature_20,constant_temperature_26,etc_availability,etc_people,etc_lighting,etc_equipment,0.66,0.57,0.63,0.66,0.66,0.6,0.66,0.63,0.54,0.63,0.63,0.63
부속공간,constant_temperature_20,constant_temperature_26,accessory_availability,all_zero,accessory_lighting,all_zero,0,0,0,0,0,0,0,0,0,0,0,0
창고/설비/문서실,constant_temperature_20,constant_temperature_26,storage_availability,all_zero,storage_lighting,all_zero,0,0,0,0,0,0,0,0,0,0,0,0
전산실,constant_temperature_20,constant_temperature_26,computer_availability,computer_people,computer_lighting,computer_equipment,0.93,0.84,0.93,0.9,0.93,0.9,0.93,0.93,0.9,0.93,0.9,0.93
주방 및 조리실,constant_temperature_20,constant_temperature_26,kitchen_availability,kitchen_people,kitchen_lighting,kitchen_equipment,0,0,0,0,0,0,0,0,0,0,0,0
병실,constant_temperature_20,constant_temperature_26,hospital_availability,hospital_people,hospital_lighting,hospital_equipment,2.542,2.296,2.542,2.46,2.542,2.46,2.542,2.542,2.46,2.542,2.46,2.542
객실,constant_temperature_20,constant_temperature_26,guestroom_availability,guestroom_people,guestroom_lighting,guestroom_equipment,2.542,2.296,2.542,2.46,2.542,2.46,2.542,2.542,2.46,2.542,2.46,2.542
강의실,constant_temperature_20,constant_temperature_26,lectureroom_availability,lectureroom_people,lectureroom_lighting,lectureroom_equipment,0,0.42,0.69,0.66,0.63,0.66,0.45,0.09,0.66,0.63,0.66,0.45
매장,constant_temperature_20,constant_temperature_26,store_availability,store_people,store_lighting,store_equipment,0,0,0.6,0.6,0.45,0.6,0.15,0,0.6,0.6,0.63,0.27
전시실,constant_temperature_20,constant_temperature_26,exhibition_availability,exhibition_people,exhibition_lighting,all_zero,0.78,0.69,0.75,0.78,0.78,0.72,0.78,0.78,0.66,0.75,0.78,0.75
열람실,constant_temperature_20,constant_temperature_26,library_availability,library_people,library_lighting,all_zero,0.66,0.57,0.63,0.66,0.66,0.6,0.66,0.63,0.54,0.63,0.63,0.63
체육시설,constant_temperature_20,constant_temperature_26,gym_availability,gym_people,gym_lighting,all_zero,0.78,0.69,0.75,0.78,0.78,0.72,0.78,0.78,0.66,0.75,0.78,0.75
교실(초중고),constant_temperature_20,constant_temperature_26,classroom_availability,classroom_people,classroom_lighting,classroom_equipment,5.72,5.06,5.5,5.72,5.72,5.28,5.72,5.72,4.84,5.5,5.72,5.5
