name,heating,cooling,hvac_availability,occupant,lighting,equipment
주거공간,constant_temperature_20,constant_tempeature_26,residential_availability,residential_people,residential_lighting,residential_equipment
소규모사무실,constant_temperature_20,constant_tempeature_26,smalloffice_availability,smalloffice_people,smalloffice_lighting,smalloffice_equipment
대규모사무실,constant_temperature_20,constant_tempeature_26,largeoffice_availability,largeoffice_people,largeoffice_lighting,largeoffice_equipment
회의 및 세미나실,constant_temperature_20,constant_tempeature_26,meetingroom_availability,meetingroom_people,meetingroom_lighting,meetingroom_equipment
강당,constant_temperature_20,constant_tempeature_26,hall_availability,hall_people,hall_lighting,hall_equipment
구내식당,constant_temperature_20,constant_tempeature_26,cafeteria_availability,cafeteria_people,cafeteria_lighting,cafeteria_equipment
화장실,constant_temperature_20,constant_tempeature_26,toilet_availability,all_zero,toilet_lighting,all_zero
그 외 체류공간,constant_temperature_20,constant_tempeature_26,etc_availability,etc_people,etc_lighting,etc_equipment
부속공간,constant_temperature_20,constant_tempeature_26,accessory_availability,all_zero,accessory_lighting,all_zero
창고/설비/문서실,constant_temperature_20,constant_tempeature_26,storage_availability,all_zero,storage_lighting,all_zero
전산실,constant_temperature_20,constant_tempeature_26,computer_availability,computer_people,computer_lighting,computer_equipment
주방 및 조리실,constant_temperature_20,constant_tempeature_26,kitchen_availability,kitchen_people,kitchen_lighting,kitchen_equipment
병실,constant_temperature_20,constant_tempeature_26,hospital_availability,hospital_people,hospital_lighting,hospital_equipment
객실,constant_temperature_20,constant_tempeature_26,guestroom_availability,guestroom_people,guestroom_lighting,guestroom_equipment
강의실,constant_temperature_20,constant_tempeature_26,lectureroom_availability,lectureroom_people,lectureroom_lighting,lectureroom_equipment
매장,constant_temperature_20,constant_tempeature_26,store_availability,store_people,store_lighting,store_equipment
전시실,constant_temperature_20,constant_tempeature_26,exhibition_availability,exhibition_people,exhibition_lighting,all_zero
열람실,constant_temperature_20,constant_tempeature_26,library_availability,library_people,library_lighting,all_zero
체육시설,constant_temperature_20,constant_tempeature_26,gym_availability,gym_people,gym_lighting,all_zero
교실(초중고),constant_temperature_20,constant_tempeature_26,classroom_availability,classroom_people,classroom_lighting,classroom_equipment
구내식당(초중고),constant_temperature_20,constant_tempeature_26,,,,
주방 및 조리실 (초중고),constant_temperature_20,constant_tempeature_26,,,,
체육시설 (초중고),constant_temperature_20,constant_tempeature_26,,,,
